id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,N_tokens,log_N_tokens,N_sentences,log_N_sentences,n_nodes,n_edges,network_density,average_clustering,modularity,average_shortest_path_largest_component
PG10222,The Pilgrims of New England: A Tale of the Early American Settlers,"Webb, J. B., Mrs. (Annie)",1806.0,1880.0,['en'],56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138322.0,11.837339579477623,3486.0,8.156510226079966,45.0,66.0,0.06666666666666667,0.02993755614271211,0.4823791996240897,3.3656565656565656
PG10226,Beautiful Joe: An Autobiography,"Saunders, Marshall",1861.0,1947.0,['en'],78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107572.0,11.585915669797602,4892.0,8.495356496807062,53.0,80.0,0.05805515239477504,0.026499981318052833,0.40901020144628086,2.8207547169811322
PG10234,Old Creole Days: A Story of Creole Life,"Cable, George Washington",1844.0,1925.0,['en'],95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87674.0,11.381380669183423,3959.0,8.28374674710613,14.0,17.0,0.18681318681318682,0.13367263878565183,0.44045368620037806,2.3626373626373627
PG1023,Bleak House,"Dickens, Charles",1812.0,1870.0,['en'],3018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434524.0,12.982006458065475,18194.0,9.808847148382007,106.0,184.0,0.03306379155435759,0.023084737399950723,0.5446768929232865,3.4465408805031448
PG1024,The Wrecker,"Stevenson, Robert Louis",1850.0,1894.0,['en'],256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172482.0,12.058048162182851,6928.0,8.843326450242271,27.0,34.0,0.09686609686609686,0.06239615267161838,0.533388429752066,3.324786324786325
PG10268,Patty at Home,"Wells, Carolyn",1862.0,1942.0,['en'],60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63847.0,11.064244875235472,2561.0,7.848153086199526,36.0,55.0,0.0873015873015873,0.07100674007904582,0.2592610048072391,2.4857142857142858
PG1027,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872.0,1939.0,['en'],378,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,119072.0,11.68748363114635,7914.0,8.97638862194537,61.0,86.0,0.046994535519125684,0.035047777268497275,0.20686631944444442,2.403825136612022
PG1028,The Professor,"Brontë, Charlotte",1816.0,1855.0,['en'],458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107742.0,11.587494759269953,3074.0,8.03073492409854,25.0,30.0,0.1,0.01839925104032434,0.42320415879017015,2.8433333333333333
PG1029,The Night-Born,"London, Jack",1876.0,1916.0,['en'],223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64395.0,11.072791269326771,3902.0,8.269244521183056,9.0,11.0,0.3055555555555556,0.09670058534937866,0.06444444444444447,1.8888888888888888
PG102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835.0,1910.0,['en'],1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65436.0,11.088827844714062,2625.0,7.872836175025724,16.0,17.0,0.14166666666666666,0.018846822276640716,0.1536458333333333,2.3333333333333335
PG10321,Dragon's blood,"Rideout, Henry Milner",1877.0,1927.0,['en'],100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70619.0,11.165054509087586,4048.0,8.305978210967302,17.0,19.0,0.13970588235294118,0.044198719018887556,0.32720000000000005,2.3676470588235294
