imdb_id_final,title,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,url,n_nodes,network_density,average_clustering,modularity,average_shortest_path_largest_component,genre_drama,genre_thriller,genre_comedy,genre_action,genre_crime,genre_romance,genre_adventure,genre_scifi,genre_horror,genre_mystery,genre_fantasy,genre_family,genre_animation,genre_war,genre_musical,genre_western
tt0158983,South Park,"South Park: Bigger, Longer & Uncut",0.0,1999.0,81.0,"['Animation', 'Comedy', 'Musical']",7.7,https://imsdb.com/Movie Scripts/South Park Script.html,10.0,0.26666666666666666,0.0,0.27514792899408286,2.1555555555555554,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
tt1954843,Space Milkshake,Space Milkshake,0.0,2012.0,85.0,"['Comedy', 'Sci-Fi']",5.6,https://imsdb.com/Movie Scripts/Space Milkshake Script.html,6.0,0.4,0.2862183021415016,1.1102230246251565e-16,1.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0371246,Spanglish,Spanglish,0.0,2004.0,131.0,"['Comedy', 'Romance', 'Drama']",6.4,https://imsdb.com/Movie Scripts/Spanglish Script.html,32.0,0.0846774193548387,0.018907938722902237,0.39278628117913833,2.9838709677419355,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0360009,Spartan,Spartan,0.0,2004.0,106.0,"['Crime', 'Drama', 'Thriller']",6.5,https://imsdb.com/Movie Scripts/Spartan Script.html,50.0,0.044897959183673466,0.027676943032278474,0.24027681660899647,2.2857142857142856,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0811080,Speed Racer,Speed Racer,0.0,2008.0,135.0,"['Action', 'Family', 'Sport']",6.1,https://imsdb.com/Movie Scripts/Speed Racer Script.html,53.0,0.05224963715529753,0.03220463453728691,0.4309642372114079,3.0703918722786647,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tt0120184,Sphere,Sphere,0.0,1998.0,134.0,"['Sci-Fi', 'Thriller', 'Read ""Sphere"" Script']",6.1,https://imsdb.com/Movie Scripts/Sphere Script.html,8.0,0.32142857142857145,0.13534754595925563,0.0,1.6785714285714286,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0145487,Spider-Man,Spider-Man,0.0,2002.0,121.0,"['Action', 'Adventure', 'Sci-Fi']",7.4,https://imsdb.com/Movie Scripts/Spider-Man Script.html,23.0,0.1422924901185771,0.05867470105651012,0.29844830494181146,2.7470355731225298,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
tt9362722,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,0.0,2023.0,140.0,"['Animation', 'Fantasy', 'Adventure']",8.5,https://imsdb.com/Movie Scripts/Spider-Man: Across the Spider-Verse Script.html,28.0,0.08994708994708994,0.03855889661524838,0.3210650887573965,2.664021164021164,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
tt0090060,St. Elmo's Fire,St. Elmo's Fire,0.0,1985.0,110.0,"['Drama', 'Romance']",6.4,https://imsdb.com/Movie Scripts/St. Elmo's Fire Script.html,13.0,0.21794871794871795,0.07301442434554106,0.3949652777777778,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0796366,Star Trek,Star Trek,0.0,2009.0,127.0,"['Action', 'Adventure', 'Sci-Fi']",7.9,https://imsdb.com/Movie Scripts/Star Trek Script.html,16.0,0.14166666666666666,0.037167594128011044,0.20967741935483863,2.1416666666666666,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
